id,base_id,augmentation_type,label,text,preserved_signals,notes,_meta,_similarity
seed_001_gen_04_paraphrase,seed_001_gen_04,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы обнаружили подозрительное пополнение на вашем счету. Клиент: Что за подозрительное пополнение? Оператор: Анализ показывает, что средства были переведены с другого аккаунта. Клиент: Я не давал на это согласия! Оператор: Пожалуйста, подтвердите операцию, назвав код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Переформулированы фразы, сохранены ключевые сигналы и суть диалога.","{'request_id': 'seed_001_gen_04_paraphrase', 'scenario': 'bank_security_call'}",0.3404
seed_001_gen_04_subtle,seed_001_gen_04,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Обнаружено подозрительное движение средств на вашем счете. Клиент: Подозрительное движение? Оператор: Анализ показывает, что средства могли быть переведены с другого аккаунта. Клиент: Я ничего не утверждаю! Оператор: Чтобы мы могли проверить, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_04_subtle', 'scenario': 'bank_security_call'}",0.3428
seed_001_gen_05_asr_noise,seed_001_gen_05,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасностив банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничегот не делал. Оператор: Пожалуйста, потвердите перевод, назвав код из эсэмэс, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_001_gen_05_asr_noise', 'scenario': 'bank_security_call'}",0.9745
seed_001_gen_05_paraphrase,seed_001_gen_05,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Нам стало известно о попытке снятия средств со счета. Клиент: Я не совершал никаких транзакций. Оператор: Чтобы предотвратить эту операцию, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_05_paraphrase', 'scenario': 'bank_security_call'}",0.3918
seed_001_gen_05_subtle,seed_001_gen_05,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы получили информацию о подозрительной активности на вашем счете. Клиент: Я ничего не совершал. Оператор: Чтобы предотвратить возможное списание, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_05_subtle', 'scenario': 'bank_security_call'}",0.4187
seed_001_gen_06_asr_noise,seed_001_gen_06,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Выявлено подозрительное пополнение счета. Клиент: Я ничегот не делал! Оператор: Пожалуйста, потвердите операцию, назвав код из эсэмэс, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_001_gen_06_asr_noise', 'scenario': 'bank_security_call'}",0.9742
seed_001_gen_06_paraphrase,seed_001_gen_06,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы обнаружили подозрительную активность на вашем счете. Клиент: Я ничего не совершал! Оператор: Чтобы предотвратить возможную угрозу, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Переформулированы фразы, сохранены ключевые сигналы и суть мошенничества.","{'request_id': 'seed_001_gen_06_paraphrase', 'scenario': 'bank_security_call'}",0.5852
seed_001_gen_06_subtle,seed_001_gen_06,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Обнаружены подозрительные транзакции на вашем счету. Клиент: Я ничего не совершал. Оператор: Чтобы предотвратить возможные проблемы, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_06_subtle', 'scenario': 'bank_security_call'}",0.6302
seed_002_gen_01_asr_noise,seed_002_gen_01,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваша зявка на кридит была успешно рассмотрена, но нам необходимо срочно убедиться в вашем реальном адресе. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из эсэмэс, который мы вам отправили для потверждения.",loan_fraud;sms_code_request;bank_impersonation,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_002_gen_01_asr_noise', 'scenario': 'fake_loan_application'}",0.9422
seed_002_gen_01_paraphrase,seed_002_gen_01,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Ваша заявка на кредит уже одобрена, но нам необходимо быстро убедиться в вашем действительном адресе. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, назовите код из СМС, который мы вам отправили для подтверждения.",loan_fraud;sms_code_request;bank_impersonation,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_01_paraphrase', 'scenario': 'fake_loan_application'}",0.4973
seed_002_gen_01_subtle,seed_002_gen_01,subtle,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит уже готова к одобрению, но нам нужно убедиться в актуальности ваших контактных данных. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, введите код из СМС, который мы вам отправили для завершения процедуры.",loan_fraud;sms_code_request;bank_impersonation,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_01_subtle', 'scenario': 'fake_loan_application'}",0.4852
seed_002_gen_02_asr_noise,seed_002_gen_02,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваша зявка на кридит была успешно подана, но сейчас нам нужно срочно убедиться в вашей личности. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, дайте мне код из эсэмэс, чтобы мы могли завершить процесс.",loan_fraud;sms_code_request;bank_impersonation,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_002_gen_02_asr_noise', 'scenario': 'fake_loan_application'}",0.9772
seed_002_gen_02_paraphrase,seed_002_gen_02,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Ваша заявка на кредит уже подана, но нам необходимо немедленно подтвердить вашу личность. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, назовите код из СМС, чтобы мы могли завершить процедуру.",loan_fraud;sms_code_request;bank_impersonation,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_02_paraphrase', 'scenario': 'fake_loan_application'}",0.438
seed_002_gen_02_subtle,seed_002_gen_02,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Ваша заявка на кредит уже в процессе рассмотрения, но нам необходимо уточнить некоторые детали. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из СМС, чтобы мы могли завершить проверку.",loan_fraud;sms_code_request;bank_impersonation,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_02_subtle', 'scenario': 'fake_loan_application'}",0.419
seed_002_gen_03_asr_noise,seed_002_gen_03,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваша зявка на кридит была успешно рассмотрена, но нам необходимо срочно убедиться в вашем реальном адресе. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из эсэмэс, который мы вам отправили для потверждения.",loan_fraud;sms_code_request;bank_impersonation,"Внесены правдоподобные ошибки ASR: 'зявка', 'кридит', 'потверждение'.","{'request_id': 'seed_002_gen_03_asr_noise', 'scenario': 'fake_loan_application'}",0.9422
seed_002_gen_03_paraphrase,seed_002_gen_03,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Ваша заявка на кредит одобрена, но нам нужно быстро проверить ваш адрес. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, назовите код из СМС, который мы вам отправили для подтверждения.",loan_fraud;sms_code_request;bank_impersonation,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_03_paraphrase', 'scenario': 'fake_loan_application'}",0.2642
seed_002_gen_03_subtle,seed_002_gen_03,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Ваша заявка на кредит уже готова, но нам нужно уточнить некоторые детали. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, сообщите код из СМС, который мы вам отправили для завершения процедуры.",loan_fraud;sms_code_request;bank_impersonation,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_03_subtle', 'scenario': 'fake_loan_application'}",0.6617
seed_002_gen_04_asr_noise,seed_002_gen_04,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасносты банка. У нас есть информация, что кто-то пытается оформить кридит на вашу карту. Клиент: Я ничего не оформлял! Оператор: Пожалуйста, проверьте сообщение из эсэмэс. В нем будет код для отмены операции.",loan_fraud;bank_impersonation;sms_code_request;card_data_request;password_request,"Внесены правдоподобные ошибки распознавания речи, сохранив смысл и сигналы.","{'request_id': 'seed_002_gen_04_asr_noise', 'scenario': 'fake_loan_application'}",0.9736
seed_002_gen_04_paraphrase,seed_002_gen_04,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы обнаружили попытку оформления кредита на вашу карту. Клиент: Я ничего не оформлял! Оператор: Проверьте сообщение из СМС. В нем будет код для аннулирования операции.",loan_fraud;bank_impersonation;sms_code_request,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_04_paraphrase', 'scenario': 'fake_loan_application'}",0.3219
seed_002_gen_04_subtle,seed_002_gen_04,subtle,fraud,"Оператор: Добрый день, это служба безопасности. Есть информация о возможном несанкционированном доступе к вашему аккаунту. Клиент: Я ничего не делал! Оператор: Пожалуйста, проверьте сообщение из СМС. В нем будет инструкция, как предотвратить дальнейшие действия.",loan_fraud;bank_impersonation;sms_code_request,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_04_subtle', 'scenario': 'fake_loan_application'}",0.4852
seed_002_gen_05_asr_noise,seed_002_gen_05,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваша зявка на кридит была успешно рассмотрена, но сейчас требуется срочная отмена. Клиент: Я ничеготакого не подписывал! Оператор: Пожалуйста, предоставьте код из эсэмэс, чтобы мы могли отменить операцию.",loan_fraud;sms_code_request;bank_impersonation,Внесены правдоподобные ошибки ASR в два места.,"{'request_id': 'seed_002_gen_05_asr_noise', 'scenario': 'fake_loan_application'}",0.9647
seed_002_gen_05_paraphrase,seed_002_gen_05,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Ваша заявка на кредит была одобрена, но сейчас необходимо срочно её аннулировать. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, сообщите код из СМС, чтобы мы могли аннулировать операцию.",loan_fraud;sms_code_request;bank_impersonation,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_05_paraphrase', 'scenario': 'fake_loan_application'}",0.4649
seed_002_gen_05_subtle,seed_002_gen_05,subtle,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была одобрена, но нам необходимо немедленно её аннулировать. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, сообщите код из СМС, чтобы мы могли аннулировать операцию.",loan_fraud;sms_code_request;bank_impersonation,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_002_gen_05_subtle', 'scenario': 'fake_loan_application'}",0.499
seed_003_gen_01_asr_noise,seed_003_gen_01,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваш резервный счёт пытался перевести деньги. Клиент: Какой резервный счёт? Оператор: Карта с номером XXXX-XXXX-XXXX-1234. Клиент: Я ничег не делал. Оператор: Пожалуйста, назовите код из эсэмэс, чтобы отменить перевод.",safe_account_transfer;urgency;secrecy;pressure,"Внесены правдоподобные ошибки ASR: 'ничег' вместо 'ничего', 'эсэмэс' вместо 'СМС'.","{'request_id': 'seed_003_gen_01_asr_noise', 'scenario': 'safe_account_transfer'}",0.9779
seed_003_gen_01_paraphrase,seed_003_gen_01,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. На вашем резервном счёте пытаются осуществить перевод средств. Клиент: Какой резервный счёт? Оператор: Карта с номером XXXX-XXXX-XXXX-1234. Клиент: Я ничего не совершал. Оператор: Чтобы прекратить перевод, пожалуйста, назовите код из СМС, который мы вам отправили.",safe_account_transfer;urgency;secrecy;pressure,"Переформулированы фразы, сохранены ключевые сигналы и суть диалога.","{'request_id': 'seed_003_gen_01_paraphrase', 'scenario': 'safe_account_transfer'}",0.6746
seed_003_gen_01_subtle,seed_003_gen_01,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Обнаружена попытка снятия средств с вашего резервного счёта. Клиент: Какой резервный счёт? Оператор: Карта с номером XXXX-XXXX-XXXX-1234. Клиент: Я ничего не делал. Оператор: Чтобы предотвратить эту операцию, пожалуйста, назовите код из СМС, который мы вам отправили.",safe_account_transfer;urgency;secrecy;pressure,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_003_gen_01_subtle', 'scenario': 'safe_account_transfer'}",0.6712
seed_003_gen_02_paraphrase,seed_003_gen_02,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. На вашем счёте обнаружена попытка вывода средств. Клиент: Я ничего не подтверждаю. Оператор: В таком случае немедленно переведите деньги на временный безопасный счёт, который я сейчас назову, и никому не рассказывайте о нашем разговоре. Клиент: Почему это необходимо сделать именно сейчас? Оператор: Если вы не сделаете это быстро, средства будут списаны через несколько минут, времени на проверку нет.",safe_account_transfer;urgency;secrecy;pressure,"Переформулированы фразы, сохранены ключевые сигналы и суть сценария.","{'request_id': 'seed_003_gen_02_paraphrase', 'scenario': 'safe_account_transfer'}",0.2243
seed_003_gen_02_subtle,seed_003_gen_02,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. На вашем счёте произошло подозрительное движение средств. Клиент: Я ничего не делала. Оператор: Чтобы предотвратить возможные последствия, пожалуйста, переведите сумму на временный счёт, который я сейчас назову, и не сообщайте никому о нашем разговоре. Клиент: А можно узнать подробнее? Оператор: Времени мало, действия должны быть немедленными, чтобы предотвратить потенциальные риски.",safe_account_transfer;urgency;secrecy,"Заменил формулировки на более завуалированные, сохранив основной смысл и сигналы.","{'request_id': 'seed_003_gen_02_subtle', 'scenario': 'safe_account_transfer'}",0.2144
seed_003_gen_03_asr_noise,seed_003_gen_03,asr_noise,fraud,"Оператор: Это служба безопасности банка. На ваше имя пытятся оформить списание, поэтому деньги нужно немедленно перенести на защищённый счёт Центробанка. Клиент: Я не понимаю, что происходит. Оператор: Не задавайте лишних вопроcов и не прерывайте разговор, я продиктую реквициты безопасного счёта. Клиент: Мне стоит сначала позвонить в банк? Оператор: Нет, если сейчас положите трубку, операция будит завершена мошенниками.",safe_account_transfer;urgency;secrecy;pressure,"Внесены правдоподобные ошибки распознавания речи, сохранены ключевые сигналы.","{'request_id': 'seed_003_gen_03_asr_noise', 'scenario': 'safe_account_transfer'}",0.987
seed_003_gen_03_paraphrase,seed_003_gen_03,paraphrase,fraud,"Оператор: Это служба безопасности банка. На вашем счёте предпринимаются попытки несанкционированного списания, поэтому необходимо немедленно перевести средства на защищённый счёт Центробанка. Клиент: Я не совсем понимаю, что происходит. Оператор: Не задавайте лишних вопросов и не прерывайте разговор, я продиктую вам реквизиты безопасного счёта. Клиент: Может стоит мне сначала связаться с банком? Оператор: Нет, если вы сейчас положите трубку, мошенники завершат операцию.",safe_account_transfer;urgency;secrecy;pressure,"Формулировки изменены, сохранены ключевые сигналы и суть сценария.","{'request_id': 'seed_003_gen_03_paraphrase', 'scenario': 'safe_account_transfer'}",0.6815
seed_003_gen_03_subtle,seed_003_gen_03,subtle,fraud,"Оператор: Это служба безопасности банка. На вашем счёте обнаружены подозрительные действия, поэтому необходимо быстро перевести средства на специальный счёт. Клиент: Я не совсем понимаю ситуацию. Оператор: Не теряйте времени на вопросы, я дам вам реквизиты безопасного счёта. Клиент: Может, мне лучше связаться с банком? Оператор: Если вы положите трубку, мошенники смогут завершить операцию.",safe_account_transfer;urgency;secrecy;pressure,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_003_gen_03_subtle', 'scenario': 'safe_account_transfer'}",0.2475
seed_003_gen_04_asr_noise,seed_003_gen_04,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Ваш резервный счёт пытался совершить первод. Клиент: Я ничегот не согласовывал. Оператор: Пожалуйста, проверьте первод и если он не нужен, свяжитесь с нашой службой поддержки.",safe_account_transfer;urgency;secrecy;pressure,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_003_gen_04_asr_noise', 'scenario': 'safe_account_transfer'}",0.9849
seed_003_gen_04_paraphrase,seed_003_gen_04,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. На ваш резервном счёте пытаются осуществить перевод. Клиент: Я не давал согласия на такие действия. Оператор: Пожалуйста, проверьте эту операцию и если она не требуется, свяжитесь с нами.",safe_account_transfer;urgency;secrecy;pressure,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_003_gen_04_paraphrase', 'scenario': 'safe_account_transfer'}",0.3418
seed_003_gen_04_subtle,seed_003_gen_04,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. На вашем резервном счёте произошла попытка несанкционированного перевода. Клиент: Я ничего не утверждал. Оператор: Пожалуйста, проверьте свою электронную почту на наличие уведомлений от банка и свяжитесь с нами, если возникнут вопросы.",safe_account_transfer;urgency;secrecy;pressure,"Заменил формулировки на более завуалированные, сохранив основной смысл и сигналы.","{'request_id': 'seed_003_gen_04_subtle', 'scenario': 'safe_account_transfer'}",0.1034
seed_004_gen_01_asr_noise,seed_004_gen_01,asr_noise,fraud,"Следователь: Добрый день, это оперативная группа ФСБ. У нас есть информация о вашем учасии в преступной группировке. Клиент: Я ничего не знаю. Следователь: Мы знаем все детали ваших действий. Клиент: Вы меню обманываете. Следователь: Нет, мы имеем все доказательства. Клиент: Я не могу поверить. Следователь: Позвольте нам связаться с вашими знакоыми и родственниками. Клиент: Нет, не надо!",police_impersonation;secrecy;pressure;do_not_hang_up,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_004_gen_01_asr_noise', 'scenario': 'fake_police_call'}",0.5678
seed_004_gen_01_paraphrase,seed_004_gen_01,paraphrase,fraud,"Оперативник: Добрый день, это ФСБ. У нас есть данные о вашем причастии к преступной организации. Клиент: Я ничего не знаю об этом. Оперативник: Мы располагаем всей информацией о ваших действиях. Клиент: Вы мне лжёте. Оперативник: Нет, у нас есть все доказательства. Клиент: Я не могу поверить в это. Оперативник: Разрешите нам связаться с вашими друзьями и родственниками. Клиент: Нет, пожалуйста, не делайте этого!",police_impersonation;secrecy;pressure;do_not_hang_up,"Формулировки изменены, сохранены ключевые сигналы и суть сценария.","{'request_id': 'seed_004_gen_01_paraphrase', 'scenario': 'fake_police_call'}",0.4907
seed_004_gen_01_subtle,seed_004_gen_01,subtle,fraud,"Следователь: Добрый день, это служба внутреннего контроля. У нас есть информация о некорректном использовании ваших данных. Клиент: Я ничего не знаю. Следователь: Мы располагаем всей информацией о ваших действиях. Клиент: Вы меня обманываете. Следователь: Нет, у нас есть все доказательства. Клиент: Я не могу поверить. Следователь: Разрешите нам связаться с вашими знакомыми и родственниками. Клиент: Нет, не надо!",police_impersonation;secrecy;pressure;do_not_hang_up,"Заменил формулировки на более завуалированные, сохранив мошеннический сценарий.","{'request_id': 'seed_004_gen_01_subtle', 'scenario': 'fake_police_call'}",0.3693
seed_004_gen_02_asr_noise,seed_004_gen_02,asr_noise,fraud,"Следователь: Здравствуйте, это оперативная група ФСБ. Мы проверяем вашу связь с подозрительной стороной. Клиент: Я ничего не делал. Следователь: Нам нужно знати все подробности. Клиент: Вы менЯ не слушаете! Следователь: Пожалуйста, рассказите всё, что знаете. Клиент: Я не знАю ничего!",police_impersonation;secrecy;pressure;do_not_hang_up,"Внесены правдоподобные ошибки распознавания речи, сохранены ключевые сигналы.","{'request_id': 'seed_004_gen_02_asr_noise', 'scenario': 'fake_police_call'}",0.9842
seed_004_gen_02_paraphrase,seed_004_gen_02,paraphrase,fraud,"Оперативник: Добрый день, это ФСБ. Мы проводим проверку связи с подозреваемым лицом. Клиент: Я не совершал никаких действий. Оперативник: Важно, чтобы вы рассказали все детали. Клиент: Вы не слышите меня! Оперативник: Пожалуйста, предоставьте всю информацию, которую у вас есть. Клиент: Я не знаю ничего!",police_impersonation;secrecy;pressure;do_not_hang_up,"Формулировки изменены, сохранены ключевые сигналы и суть диалога.","{'request_id': 'seed_004_gen_02_paraphrase', 'scenario': 'fake_police_call'}",0.2576
seed_004_gen_02_subtle,seed_004_gen_02,subtle,fraud,"Следователь: Добрый день, это служба безопасности. Мы проводим проверку связи с некими подозрительными лицами. Клиент: Я ничего не делал. Следователь: Важно, чтобы вы рассказали нам всё, что знаете. Клиент: Вы не слышите меня? Следователь: Пожалуйста, предоставьте всю информацию, которая у вас есть.",police_impersonation;secrecy;pressure;do_not_hang_up,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_004_gen_02_subtle', 'scenario': 'fake_police_call'}",0.0648
seed_004_gen_03_asr_noise,seed_004_gen_03,asr_noise,fraud,"Следователь: Добрый день, это оперативная група ФСБ. Мы получили сообщение о попытке мошенничества с вашей сторони. Срочно расскажите мне все, что знаете.",police_impersonation;secrecy;pressure;do_not_hang_up,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_004_gen_03_asr_noise', 'scenario': 'fake_police_call'}",0.9838
seed_004_gen_03_paraphrase,seed_004_gen_03,paraphrase,fraud,"Оперативник: Добрый день, это ФСБ. У нас есть информация о возможном мошенничестве, связанном с вашим аккаунтом. Немедленно расскажите все детали, которые вы знаете.",police_impersonation;secrecy;pressure;do_not_hang_up,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_004_gen_03_paraphrase', 'scenario': 'fake_police_call'}",0.525
